review;sentiment
"The attempt at making a smaller-scale Bond with the plot revolving around a personal vendetta did not work. Some Random agent gone nuts - which MI6 hosed - wants payback. I could not make myself care about the man's issues or reasons. The dialogue throughout the movie was dreadfully dull and uninspiring - same goes for the characters. There wasn't even one real joke or attempt at lifting the mood which at least in older Bond movies was the norm.

They murdered the Bond girl. Just like that to show how evil the Random agent gone nuts supposedly is. Thanks to the same guy we also get the most remarkable computer-related doohickey for quite some time. The plot's pacing heavily leans on terribly executed and utterly unbelievable magic, which the writers probably mistook for ""hacking"". I can't fathom what they had in mind but repeated use of awkward magic steadily maims audience's immersion into a thousand pieces.

After that treatment, probably the most touching part of the movie was the destruction of the Skyfall manor. Every engraved wood panel and chiseled stone block was, unlike this movie, a piece of art in itself. And they leveled it all for the purposes of making fleeting entertainment for Western consumers.

About cinematography: Thanks to digital video capture, dark scenes were immaculately clean, but the image fell apart in brighter outdoor scenes. I don't appreciate the looks of light sources and lighter tones in digital video. It is too big of a tradeoff to get a cleaner picture. Colors were quite realistic (read: boring) which suit the overall tone of the movie well.

Nevertheless the movie had some inspired shots, including a silhouette fistfight against a skyscraper-tall advertisement, sailboat in ocean and again some silhouettes against a burning manor on the moors. The highlight probably was when drowning Bond shot an underwater flare, lighting the water below thin ice and contrasting marvelously with the light of the burning manor above.

A true Bond fan does not leave a Bond movie unwatched, but it is difficult to invent reasons to go watch Skyfall with any great haste. Cinematography saves select parts of the movie, but overall Skyfall is not worth seeing even just for the visuals.";negative
This is the most over rated film since Crouching Tiger, Hidden Dragon. The Film is beautifully shot and is nice to look at for the first ten mintues or so but then it gets so boring and your mind begins to wander. I am just glad I didn't pay money to see this big-budget piece of garbage. It is unfunny and unexciting.;negative
Avatar tells a familiar story but its a story that works so well inside of this movie. The visuals and 3d are still one of the best to date and i totally get why it made so much money.;positive
"A very big letdown for such a moment in history. Recommend wait for HBO. Editing was terrible posting a foolish timeline that made no sense, midnight in France/daylight in England at the same time. Hundreds of small civilian boats assisted in the evacuation, not the dozens on the screen. Thousands of Brit Troops standing in lines exposed on the beach for evacuation with no ships in sight, waiting. Everything from an odd random torpedo scene to the rescued troops getting pulled into boats, soaking wet in oil/seawater then getting off in England wearing dry crisp uniforms.

The best dramatic gimmick? A valiant RAF pilot flies over the beachhead till he runs out of fuel, but he still has time gliding to shoot down one more Hun plane. That creates that final (5 minute) moment in the film where he quietly glides across the beach, providing that requisite film shot of all the British stars watching, biting their lips with respect.

Meanwhile, I am wondering why he is landing towards the German held beach? Then with all the emergencies on the plane (off course, landing gear won't come down) he continues to wear his high altitude breathing/comms headset? The plane lands, the pilot jumps out and stands looking at the dunes and approaching Germans. Now being filmed with the golden sunset lighting hue technique, we finally see the glowing pilot's face (IMO Tom Hardy, the best British Actor today) defiantly surrendering. You think they would have used real human stories from the event to tell the story... instead we get scenes created specifically for select stars who dropped by the set to spend the day shooting their lines. A wasted opportunity to tell an amazing story of how the civilian armada saved the day.";negative
"This segment of HP will disappoint all who read the novel. The Burrow burns down during x-mas break due to Bellatrix and Fenrir (who is never described as a werewolf) perhaps for the lack of action at the end of the movie...the Dursleys are completely cut from the movie, meaning when Dumbledore picks Harry up for the summer it's at the train station for some apparent reason...The Ginny/Dean/Harry dichotomy is skewed, there was no break up between Ginny and Dean and Harry is clearly in love with her from the start of the movie which eliminates his confusion on his feelings during the school year...Hermoine prematurely spills the beans on her feelings for Ron which was only speculation in the novels...Lavender Brown becomes a obsessive and crazed girlfriend rather than simply over-affectionate (a reminiscent Unis from She's the Man)...the battle scene is missing from the end giving Dumbledore's death an anticlimactic feel making it all the more unemotional and disappointing...Harry hides under the floor simply holding his wand looking like a coward while Dumbledore dies, Snape sees him hiding rather than Harry being frozen under his cloak compliments of Dumbledore ...There is no funeral or break up with Ginny at the end of it (there is no relationship between the two either simply a kiss)...Hagrid is basically deleted from the movie as is Neville...Pensive trips are deleted and the Horocruxes are never explained, not even slightly...Luna finds Harry on the Hogwarts Express rather than Tonks...The Slug Club simply makes a cameo rather than a proper introduction and explanation...the Inferi look more like skeletons compared to the white bodies described in the book...I'm sure more discrepancies are present, however I can only remember so many of them.

It is absolutely a horrible interpretation of the book and I hope that they look at all of the mistakes and gaps left for the next movie and fill them in with more than humor (they are supposed to be in the middle of an all out war aren't they?) I mean I didn't even feel emotional when Dumbledore was killed, I was too busy trying to figure out why Harry was acting like a stunned coward under the floor boards and not doing something, isn't that his thing...doing seemingly impossible rescue missions?!?!

I am utterly disappointed in this installment of HP!!";negative
"The reason I gave this an 8 is because it is truly a sensational film, the best yet out of the whole franchise. The acting is milestones ahead of what it has been in previous HP films (especially from Emma Watson), the storyline and characters are much more layered and 3D, the sets and special effects are breathtaking, and the score is absolutely gorgeous. As a stand-alone film, I would happily give this a 10.

BUT, of course, it is not a stand-alone film - it is the follow up of many other films, and is also based on a book so rich and layered that it could not possibly compete. While this is (IMO) the best film so far, it is also the most unlike the book, and if you know the book and what follows in the Deathly Hallows, you can't help but notice gaping holes in the plot where crucial information has been left out. This film features only 2 of Dumbledore's collected memories - the book shows quite a few more, some of which are important in Harry's hunt for the horcruxes and may have to be dumped somewhere unfitting in the next two films, just to get them out the way (for example, the memory featuring Hepsibar Smith and Hufflepuff's cup). Also, fans of the book will no doubt notice that some of their favourite scenes have been taken out: the funeral at the end, the aftermath of the final Quidditch match (the involvement of Quidditch in this film was entertaining, but seemed pointless as it lead to nothing), and most importantly the battle at Hogwarts between the Death Eaters and The Order/Dumbledore's Army. What I'm trying to say is, if you have not read the book you will probably be able to enjoy this film for the beautiful and intense piece of work it really is - but unfortunately, if you have read the book then the comparisons will come flying at you from the very start, whether you like it or not, and there are definitely more here than there have been in previous instalments.

Half-Blood Prince is definitely the darkest of the books, and this has proved to be the darkest film - the ever present sense of tension or even impending doom is hair-raising, and every scene featuring Tom Felton (Draco Malfoy) had me almost breathless, even if he does look about 30 now. He is definitely one of the best actors of the HP films. There are also some painfully tear jerking moments throughout: including a surprise attack on the Burrow, which was heartbreaking, and the scene in the cave where Harry has to force the liquid down Dumbledore's throat - that is the first time, in any film since he started, that I've really appreciated Michael Gambon as Dumbledore, which I imagine will be the same for many of you.

In short, definitely a must see - but book fans must accept that the films have taken their own turn now, and I imagine that the changes in this one will lead to some very major differences in the two Deathly Hallows instalments. The films could never be the masterpieces that the books are, but this one sure comes close.";positive
"I got to see this film in the IMAX theatre which is really by far the best way as unlike most other films that use IMAX cameras to heighten portions of the presentation, this one is almost all in the larger IMAX format with only a few dialogue scenes reverting back to the more traditional widescreen format. This is the story of allied soldiers from Belgium, the British Empire and France who are surrounded by the German army and evacuated during a fierce battle in World War II.

The story is told from several points of view and it chops rapidly between them at a break-neck speed. I think Chris Nolan has taken on board some of the criticisms of past films for over waffling and un- needed length as this one is edited tight as a drum. Some may say there are not enough character moments but I feel there were enough to tell the story effectively.

My grandfather was captured in this region during this time and was a prisoner of war for the remainder of the campaign. It is not lost on me what kind of hell these men went through and this film delivers that feeling. The score is amazing as was the sound design and I will be expecting Oscar nominations for both. I will reserve judgement till i see how it fairs on the home format without the IMAX treatment on whether it is Nolan's best film to date but it might bloody well be. 8/10";positive
"I'm not a huge fan of comic book superhero movies, but as a movie enthusiast that's seen most watching-worth movies in last two decades, I'm more than sure that I can more or less adequately assess quality of the film. And I watched this movie with already pretty low expectations, seeing how superhero movies (with only handful of exceptions over last few years) is getting dumber and worse with every year.

And boy, this movie was disappointing in all possible aspects, from plot and acting to even the CGI - even the over-the-top action scenes was somehow dull and boring, character conflict that was driving the movie plot was so forced and incredibly stupid, that I was just absolutely blown-away with the fact that anybody can call it plausible and go with the flow.

Even the CGI and practical effects, that at least in most cases of high-budget superhero flicks, is top notch and high quality, was very poor and seem totally fake.

I seriously can't get over the fact that this movie has 8 (!!!) stars in IMDb, when in every possible aspect it earns 3 at the VERY best. I guess movie audiences are just getting dumber and expected quality of movies has just plummeted all-time-low.";negative
"Whats with all the high ratings... Story was terrible. how can 1000 unarmed cops walk towards the bad guys with guns up an alleyway and not get shot then just start fighting. I fell asleep through this and was dis-appointed with all the hype. Can you trust reviews anymore, I'm not sure.

The Dark Knight was very good - i loved it. But this was so bad. Felt tricked at paying to watch this and felt so angry. Batman gets his ass kicked in a fight, then goes away and does a few sit-ups and come back like superman. Batman gets stabbed with a 2inch knife and nearly dies yet he got bullets bouncing of him through the film";negative
"You put your glasses on and you're in. A feast for the eyes at least for the first hour. The brain, however, remains asleep. How strange that such an ambitious enterprise could ignore its most important aspect, the story. A rehash of other things with dialogues from a high school play. Also, very self referential. The bitch! from Aliens truly omnipresent. I was surprised Sam Worthington didn't say ""I think I've seen an iceberg"" or maybe he did say it while I conceded myself a little nap - after the second hour - So here we are, facing a film future in 3D"" I will, still, long for characters in movies, people I can, not just relate, but be inspired by, thought provoking and all the rest that goes with it. So, Cameron did it again and if money is at the center of the world, he remains ""king of the world""";positive
"I very much enjoyed this movie the first time I saw it but lost interest on the second viewing, for some reason. It's the usual Disney adventure story which means the same good and bad traits I usually find, namely:

THE GOOD - Nice camera-work and very slick-looking on DVD. Interesting characters, mostly here the ones played by Johnny Depp and Geoffrey Rush. It's difficult to find a role in which Depp doesn't play someone odd and/or fascinating. The story has a good mixture of drama, action, suspense and humor. Keira Knightley is attractive as the female lead and the story is interesting for the full 133 minutes (the last 10 minutes are ending credits.)

THE BAD - Once again, the messages are ""laws are made to be broken;"" ""rebels in society are the good guys while authority figures are the villains,"" and the girl wants the poor man over the rich man, etc. etc. That all is so '60s clichéd by now, you'd think the Baby Boomers in Hollywood would grow up, but apparently not. These traits are in almost every film, including a worldly outlook on everything, which includes glorifying occult nonsense. Disney will never change.

OVERALL - A fun movie, thanks mainly to Depp, director Gore Verbnski and his cameramen, and successful enough to spawn a sequel.";positive
"The set design is fantastic, the girls are sexxxy and I love dogs. The poor dog!

Is it trendy in Hollywood to not employ editors and have the film go on and on and on and on? What's more it is a sequel. More about making money than creating a story.";negative
"My high expectations of this movie based on its no. 3 position in the Top 250 lasted for about 2 seconds into the movie. What a disgrace! And so childish. And Tiring! How can it be that everyone likes this movie. It's absolutely overloaded with bizarre and completely arbitrary turns of plot that have to be explained for about 75% of the movie. No character! No excitement, I could not even tell who were the bad guys. And yet again a few seconds of Michael Caine to camouflage the complete cardboard appearance of the entire cast! What is the meaning of this movie? What is it about? Uhhh???? Its internal logic is utter bullshit. Its emotional significance is zero, empty, frightening.

Can please somebody agree with me, I feel so sad.

Kurosawa come alive!";negative
"But a mass market loser Marvel groupee satisfier movie

Waste of time and money If you want to watch a movie produced by Disney hags and orchestrated solely around 8 year olds followed by a false Thor sitting around making comic gestures and throwing one-liners then this is the movie for you. If you want any sort of plot or remotely believable Norse mythology-related scenes, pick a different movie.

You have been warned.";negative
This movie was over-hyped, and the only thing about it that I found fabulous were the special effects. However, this did not make up for the lack of emotional depth in the movie and the drawn out attempt at building suspense. Compared to the series of books this movie is based on, the movie seems shallow and lacks cohesiveness and character development. I was bored and just wanted the movie to finish, which is rare for me. Less focus on special effects and more attention to good acting and a story that builds suspense would have made for a better movie. Perhaps a little more background into the character's lives, for example, would have added a lot to the overall presentation.;negative
Too long, too dark, and too serious. The darkness is unavoidable - but exacerbated by the length, and the fact that for a movie about a superhero, it is entirely too serious. No matter how hard we try, the idea of a superhero is still a bit crazy. Imagine Bill Gates or Warren Buffet as superheroes - it's silly. So why does the film take itself so seriously? Also, it seems that the Batman story slips to the side in parts, as though the film is intent on tackling too many issues all at once. This isn't said to be contrary - the movie can be legitimately difficult to watch. It's simply too long for the content. It's not a bad film - but it's not an all-time great either.;negative
"""He knows us. He's one of us. He comes from the same place as Bond, a place you say doesn't exist, the shadows."" The world's greatest secret agent is back, but is the need for an agent outdated in today's modern world? After MI-6 is attacked and M (Dench) is brought under scrutiny by the government Bond (Craig) alone is left to find out who is behind the attack while M is trying to both help Bond and defend the need for an agency that has been compromised. I know that a review is really not needed here, being the 23rd Bond movie either you will watch it or not. I am a huge fan of the series and was really looking forward to this after hearing this is the best Bond movie yet. I have really loved the Craig movies but for some reason they never had the feel of a Bond movie to me, I wasn't sure what was missing but they didn't have the same feel. Knowing that they were re-booting the series I was lenient and with this one the re-boot is complete. This had much more of a feel of a classic Bond movie and by the end I was excited to see the next one. I got chills watching a few times and especially at the end. This had possibly the best opening and ending to a Bond movie ever. I could go on and on about this but I will just say if you love Bond you will love this, if you have never seen one then this one will make you a fan. Overall, From Russia With Love is my favorite Bond movie but this a very close second, and I think may be more re-watchable. I wanted to watch this one again as soon as the movie was over. I give this a very high A.";positive
"Maybe it's because I had higher expectations for episode VII and almost none for this one, I feel like this movie managed to achieve what the other one couldn't.

I'm not saying that it was perfect, but it sure was good enough for me, and it will be good enough for many other die-hard SW fans. Leading female actor wasn't that good in my opinion, but otherwise this movie had everything a SW fan could wish for. Good old characters, good old places, and an overall good old SW feeling. Fits into the story line quite well, CGI was a bold move , could've gone bad, but it played out quite nicely.

Overall I think SW fans will love it, but anybody not deeply immersed in the saga would also enjoy it.";positive
"This was, in my opinion, one of the best movies of 2015. The way the movie was filmed was astonishing, the actors were great and the story was good as well. The film was shot using only natural light so all of the scenes in the movie look authentic. I have never seen a film shot so gracefully to the point where when each scene starts I am amazed again. Every scene feels like you are in it. And the bear scene that everyone is talking about, is mind-blowing. Honestly, I do not know how they did that but if you see the movie for nothing else, see it for the bear. The actors did very good as well. Leonardo DiCaprio has another stand out performance along with Tom Hardy who did great as well. Many people felt like DiCaprio did not show enough emotion for his role but I think he played the role perfectly for the type of character he was. I do not think this was his best performance but I also do not think this was his worst, it is one of his best. The story did not carry the film to me. I felt like it was a good story but the acting and the visuals of the movie really carried it.

So,

Story (How well the story was) -8.5

Re watch (Are you able to watch this movie multiple times)-8.5

Cinematography (How well the movie was made) -10

Overall, 9/10";positive
"Tony Stark's life is the dream of any self-respecting man. He is incredibly rich, devilishly intelligent and in no less than superb degree is charming. He sleeps mostly with the girls who have been on the cover of Maxim, he drives exclusively on cars, under the hood of which there are not less horses than in the entire equestrian sport of any country, and the interview gives only sexy reporter, ready for a long, let's say a conversation before the first cocks. But one day, Tony's always sarcastic becomes a joke, he is taken prisoner by a group of Arab-terrorist appearance with the demand to ""make us such a rocket"" and subsequently - to kill. Stark and his companion in misfortune decide that to lose hope in general and stupid, and begin to build right before the eyes of nothing understanding the invaders best of Tony's evening suits.

It is always pleasant, when transparent as glass, aphorisms find a clear confirmation in our lives. So it happened with the phrase ""If you want to do something well, do it yourself."" The company Marvel, which owns the rights to all at least some decent heroes of graphic novels, was tired of how famously Hollywood turns her intellectual property into a shame, and took absolutely the entire production process under her control. The Iron Man is the first swallow of this approach, and it should be noted that the swallow has come out so fat that under it branches break.

The fact that the stars heavily winked at the project is noticeable already for the one who plays the main role. Downey Jr. in Hollywood is considered an eternal loser because Robert is more accustomed to look at the world from a bottled bottom or through a mirror powdered with white powder. To make such a person a titular face of a multimillion picture, which would be nice to justify the budget, the thing is extremely risky. That you had something to compare, I will say that the production of HF on his shoulders by Robert is akin to the appearance of Johnny Depp in the role of Jack Sparrow in one little-known picture. That is, this is when a good actor becomes also successful, and the viewer from this only wins. A more charming and charismatic Stark can not be imagined. Yes, and in his opponents he is not anyhow anybody, but similar to Lenin's grandfather Jeff Bridges, pushing his villainous speeches with frighteningly realistic notes in his voice. Well, any appearance on the screen of Gwyneth Paltrow should generally be celebrated at the state level - it is as usual so nice that I want to directly coat it with my coat and take it by the handle to some more cozy place than the screen of the cinema.

As the adaptation of a picture book, the film is immaculate. The dose of humor, action and serious non-pseudo-paraphonic dialogues were always on good pharmacy scales, and 186 million of the budget allow you not to think much about the quality of special effects. Such falsities and unfriendly relations with logic usual in such pictures are completely absent. The general message of the film reads easily: ""We had you, Hollywood,"" and the main indicator is the phrase that ends the film. As Dreamworks once sneered in their Shrek over Disney standards, so Marvel tramples everything that was done before in the field of the genre.";positive
Keep in mind that just because s movie makes billions, that does not make it a good movie. Like most of Marvel movies this is an insipid mess. The entire plot took 10 years to develop and is summed up in this latest entry in 4 or 5 sentences. Acting isn't necessary or required, just grimace and look sweaty and vacant. Meanwhile we'll fill the screen with 50,000 CGI lights and explosions and convince you what is happening matters. Well it doesn't.;negative
Went to see this in the cinema after the good reviews from IMDb and my friends, some of whom went to see it twice. What a disappointment. It didn't appeal on any level. It was a complete pile of Groot! Humour was limited and shallow, plot gossamer thin and the action was not really worth the effort on the whole. It's not as if I took the film seriously either. I really enjoyed the ludicrous Lucy, despite its numerous flaws. Surely I can't be the only one who didn't like this film? If it had been directed by Uwe Boll it couldn't have been much worse. If I never see it again I will be OK. Glad I didn't waste more time and money watching it in an IMAX. A 12 inch portable black and white would suffice.;negative
Ever since the beginning of the film, I was so amazed and happy That I was at the premier of the movie. Very good acting from all the main characters and good acting from the rest. Great Directing and writing from Joss Whedon too. The cinematography was stunning throughout the whole film.This is a fun action packed film for the whole family to enjoy just like the rest of the Marvel movies but better. The special effects by far are the best for any Marvel movie. The Hulk Looks so much more real. By the way The Hulk made the movie even better. Also, DO NOT SEE THE AVENGERS IN 3D! See the film because you will not be disappointed even if you are not that interested into superhero movies. It has a lot of humor and love, so again SEE IT!;positive
I really wish that I visited this page and found some helpful reviews from objective people before I went to cinema and I would probably save some money for some better movie.''Masterpiece'', ''movie of the year'' are you serious people? Wont say this movie is total failure but its not far away from that either. No story, no dialogs, many things left unanswered, Max is not even main character here and Furiosa somehow took that role. This is just a bunch of visuals effects and road action. I'm gonna forget about as soon. If you looking for road action then this one is for you, but if you looking for something more than this movie is not worthy of your time and money and two hours of your life;negative
The Dark Knight Rises was a perfect sequel to a masterpiece. Christopher Nolan took a different direction and focused more on Bruce Wayne/Batman. This movie is filled with lots of emotions. It has such great characters and of course the dialogs is so good. The performances are incredible. It was my most anticipated movie of the century. The more I watch it, The more epic it gets. Personally, I think The Dark Knight Trilogy is the greatest Trilogy of all time and this movie gives the greatest ending of all time in the movie history. I remember seeing it thrice and the more I watched It the more respect it earns. Thank you Christopher Nolan, You Sir Are A Master.;positive
"The Matrix is the first installment of a ""trilogy"" of sci-fi movies. In fact, it's not really a trilogy, in an organic sense, it's just a movie and its sequels.

Anyway, ""The Matrix"" is a film with good premises, but bad developments. Although most of the ideas of the film were taken from sci-fi writers of the 60's and philosophers of the past (the idea that we exist as a thought, or a dream, goes back to Plato at least), the script did a good job in putting these ideas together in a modern plot (at least as for year 2000). The oniric influence of recent sci-fi comic books on the film is visible throughout and is what makes the visual appeal of the film.

Unfortunately, what could have been a really good movie has been turned by the W. brothers into an average action flick targetted at 15 year-old boys, among which must belong the guys who wrote this flick is the ""best movie"" they've seen. There is almost no acting, and the heros wearing sunglasses all the time is a good way to avoid any sort of emotion to show on their faces. This total absence of emotion is one of the reasons why nobody gives a f..k whether or not everyone dies in the sequels.

The W. brothers have a strong tendency to show off : heroes wearing sunglasses and Armani black leather coats designed for yuppies, trendy night-club population, ""bullet time"" special FX, (ugly) kung fu video game action, heavy metal and techno music during the whole film, etc. All this is supposed to make the film look ""kewwwwl"". In opposition to the heros, the agent Smith wears a dark working suit : he is not cool (although he also wears sunglasses, but that's because he is a spy agent).

But what really turns me off is the pretense of the religioso-philosophico-technobabble which hardly hides the vacuity of the characters and the serious weaknesses of the script. There are so many other films which say much more with less, that this film looks highly overblown in comparison.

I'm not even trying to elaborate on the sequels, which, instead of correcting these problems, show them in their full splendor.";negative
"***Potential Spoilers***

+Visuals were okay but not that great at some point it kinda looked animated

+Acting was perfect

-but the plot was Horrible

-Some of the comedy sequences felt Forced

-Villian was underwhelming

-Overacting -Pacing issues

Marvel overused their formula in this one & it just felt Choppy & bloated there are jokes but by jokes i mean there are too many if you are fan of Forced ripoff jokes then this movie is for you there wasn't even much action You have a guy name Drax the Destroyer but you given him only one Action sequence Come'on **Spoilers* Nebula tries to kills herself to kill Gamora, and later on both of them forgive each other ? It just felt messy

The only thing i learned from GOTG 2 is that never go with high expectation while seeing a movie";negative
"As a fan of Peplum films (or Sword & Sandal) and having enjoyed previous films from Ridley Scott, I was surprised by how disappointing GLADIATOR was.

The first thing that stood out is how badly shot it was. The DP (and Scott) missed the boat on this one. The film's constant greyish tone was off putting and uninspired. It tries to give the film a realistic look but comes across as forced and in the end more fake than anything else. Because the look of the film wasn't believable, the film's other weaknesses stood out even more, like the acting. Except for Joaquin and the veteran cast, the acting was sub-par. Crowe is monotonous, almost sleepwalking through the entire epic. He can't really be blamed as his character is as one dimensional as possible. He acts like a robot, an unstoppable robot who kills everyone in sight. In one scene, Maximus enters the stadium grounds and proceeds to kill a dozen other gladiators, one after the other, in a single run. The scene is so ludicrous that the reality of the film flew out the window and couldn't get into the predictable story with Maximus reduced to a Roman version of Rambo.

The monotonous look of the film also can't camouflage the obvious CGI which today looks even more cardboady than it did 9 years ago.

To make things even more tedious, the entire film is a direct rip-off of Anthony Mann's THE FALL OF THE ROMAN EMPIRE, which, albeit wasn't great but at least it respected the intelligence of its audience, unlike GLADIATOR which is the fast food version of history. All of this could have been overlooked had the film been entertaining on some level but the slow pace, ponderous tone and predictable story killed all possibilities for it being entertaining. It's not a fun film at all.

In the end, GLADIATOR, which won the Oscar for best picture (it must have been a really bad year), is not even remotely memorable in any way shape or form. Give me a vintage Italian Sword & Sandal flick, like THE REBEL GLADIATORS, before this inert Hollywood production.";negative
"Before Logan, this was my favorite non-MCU marvel movie. The humor lands every single time thanks to Ryan Reynolds' charismatic and hysterical performance. The action was really well-helmed, which i think benefits from the fact that none of it is censored (disney if u make DP3 don't censor it). It also does a great job fleshing out Wade Wilson's character, instead of making him a service-level comedian; they showed us his prior life and love life, and it was executed very well. Overall, this is a badass and hilarious x-men film, and a really damn good time.";positive
"Though it doesn't care too much about the series' continuity (it's supposed to be Bond's first mission as a 00 agent, but it takes place after the Cold war and Judi Dench is already M), ""Casino Royale"" is a great re-creation of the series. Cool action, great thrills and a more humane Bond more than make up for the purported lack of gadgets. Daniel Craig plays Bond as a rough secret who only gradually acquires the class and cold demeanor we all know and love. He makes mistakes in the course of his mission, but that makes him even more of a hero. Although I found it hard at first to cope with Craig's looks, he is more than suitable as the character. Bond is portrayed as a man with flaws and weaknesses, which makes him look even stronger. The story is not your usual Bond plot and relies more on classical thrills than technology, though the action is extremely hard-boiled. Kudos to the creepy Mads Mikkelsen as Le Chiffre and Eva Green as Vesper Lynd for creating remarkably believable characters. A definite must-see for Bond fans : it should reconcile at last Ian Fleming aficionados and fans of the film series !";positive
I was expecting something in the way of a James Bond spoof having only seen a 30 second trailer, how wrong can you be. Instead I got a crazy, mad, violent, nutty and over the top film. It has a definite Britishness to it, it's a very smart looking production, very well acted, with some jaw dropping fight scenes, the visuals and production values are extremely high. The fights involving Sofia Boutella were just insane, she's particularly good. Some big casting, Colin Firth as always makes the perfect gentleman. It's Samuel L Jackson I particularly enjoyed, he was just so funny. Lots of violence, which if it's not your thing you should avoid. Overall, slick and very funny. The world is saved by a chav!! 7/10;positive
"Visually it is interesting for half an hour. After that, you really pay more attention to the story than the visuals. And the story is just so so. Mediocre.

After 90 minutes of incesant visual noise and excess, you just want it to end.

I saw the last half hour in reprise.

What a waste of talent. It would have been great as a short film or something.";negative
Love mission impossible, love Tom Cruise!!! This may be the best movie I have watched this year, and the best movie series I have ever seen. I've been in love with M:I since I was 12 years old, and they never ever disappointed me!;positive
"The movie was watchable, but that's about it. Why the hell it's ranked this high on IMDb I cannot understand. Maybe most of us saw it as kids and remembered it as being entertaining then, but for any film-buff, this is no better than movies such as Completely overrated film; nothing was special about the cinema visually nor was the plot that enthralling or original. Natalie Portman, who always pretty much sucks in movies, was apparently even worse as a young actress. This movie is on par with any other cliché ""assassin"" oriented flick. It seemed like a TV movie when I saw it on TBS. I couldn't BELIEVE it was on the IMDb top 250.";negative
"I didn't think ""DP2"" could possibly be funnier than the first? It was! A bigger budget helps but as with everything? Writing, Directing & of course, the actors make this quite a film! It's all action & hilarity, from the first scene to the last! I'm not gonna spoil it? This movie grabs you from the starting credits, until the screen goes black! Not made for children!";positive
"Symptomatic of a lot of American movies of late, The Revenant's greatest disappointment is the inability to have speaking parts clearly audible. Indeed, some of the accents employed are so thick I think they spent a lot of time with their mouths full of cotton wool. The character, Fitzgerald, was so bad I didn't understand a word he said.

I may buy this movie off the reject pile at the DVD store but don't expect me to see it again on the big screen.

Visually the scenery is fantastic and highlights the somber mood of the story, a few bright days serve even more to emphasize the darkness.

In fact I was so disappointed I walked out. DiCaprio may be worthy of an Oscar, this movie as whole should not be nominated.";negative
